Question,Reply
Верите ли вы что черепахи умеют плакать?, yes
Правда что автор «Цветик-семицветик» — Пушкин?, no
Первые машины имели два колеса?, no
Правда что крокодил может бревном притвориться чтоб спастись от врага?, no
Самый большой материк – это Австралия?, no
Верно ли что все блины надо делать из ржаной муки?, no
Ближайшая к Солнцу планета – Марс?, no
Верно ли утверждение что запасов пресной воды на планете меньше чем соленой?, yes
Является ли шакал родственником собаки?, yes
Правда что для того чтобы произвести стекло нужно использовать глину?, no
Верно ли утверждение что у человека есть среднее ухо?, yes
Правда что если божью коровку рассердить она начинает больно кусаться?, no
Археологи – это люди которые должны проектировать здания?, no
Правда что в шахматной партии ферзь важнее королевы?, no
Правда что белые медведи во время охоты закрывают лапой нос чтобы их не заметила жертва?, no
Верно ли утверждение что изобретателями бумаги являются японцы?, no
Правда что ножовкой можно пилить?, yes
Верна ли примета что когда куры в пыли купаются то это к отличной погоде?, no
Правда что если смешать красный и зеленый то получится коричневый?, yes
Верно ли утверждение что русский алфавит имеет десять гласных звуков?, no
Рубанок — инструмент столяра?, yes
Кашпо — вид шарфа?, no
Бобслей — санный вид спорта., yes
23:00 — то же что 8 часов вечера., no
Мэри Поппинс родом из Франции., no
Английский алфавит длиннее русского., no
В слове «день» 4 звука., no
Октябрь — самый длинный осенний месяц., yes
Столица Египта — Каир., yes
Помадой красят ресницы., no
Майор — это звание между капитаном и подполковником., yes
Голландия — то же самое что и Нидерланды., yes
Дагестан находится в России., yes
Чечётка — это название танца., yes
В слове «пень» один слог., yes
Коалы обитают в Норвегии., yes
На футбольном поле двое ворот., yes
Динозавров изучает палеонтология., yes
Хомяки являются хищниками., no
Кондитер изготавливает обувь., no
Лицо рыцаря закрывается забралом., yes
В слове «тень» все согласные мягкие., yes
Трижды пять — пятнадцать., yes
После мая наступает апрель., no
Леонардо — главный из черепашек-ниндзя., yes
Древней Русью правили фараоны., no
Милан находится в России., no
«Добро» и «зло» — антонимы., yes
Пингвины живут в Антарктиде., yes
Криштиану Роналду — футболист., yes
Китай — единственная страна где растут голубые розы., no
Семерых козлят съела лиса., no
Мать мужа — тёща., no
Дуремар занимался продажей лягушек., no
Тонометром измеряют давление., yes
В слове «ненастье» пять гласных., no
Один из Смешариков был бараном., yes
Правда что японские школьники пишут на доске кистью и цветными чернилами?, yes
В Австралии применяют одноразовые школьные доски?, no
Правда что шариковая ручка в начале была в применении только у военных летчиков?, yes
Мыши не охотятся на кошек?, yes
В борщ добавляют свёклу?, yes
Слонёнок - это детёныш слона?, yes
Пекарь умеет готовить выпечку?, yes
После осени наступает лето?, no
Вода превращается в лед на морозе?, yes
Молнию можно увидеть?, yes
Трава летом синего цвета?, no
Москва - столица России?, yes
Голландия — то же самое что и Нидерланды., yes
Дагестан находится в России., yes
Чечётка — это название танца., yes
В слове «пень» один слог., yes
Коалы обитают в Норвегии., no
Молния никогда не ударяет в одно место дважды., no
Если вы заплачете в космосе слезы застынут у вас на лице., yes
Если разрезать дождевого червя пополам то обе половины заново отрастут., no
Алкоголь убивает клетки мозга., no
Хамелеоны меняют окраску чтобы замаскироваться под окружающую местность., no
Страусы прячут голову в песок., no